id,text,TG1,TG2,TG3,TG4,TGAvg,TGVar,TF1,TF2,TF3,TF4,TFAvg,TFVar,TD1,TD2,TD3,TD4,TDAvg,TDVar,Keywords,Language,SelfOpinion,SystemNamed,MakerNamed,MetricNamed,ComponentNamed,URL,Quantification,SourceCode,Perplexity,StyleAppropriateness,TrigramRecoveredInformation,TrigramSourceInformation,TrigramRecoveryRate,AffinityRate
10,"Each claim in a research paper requires all relevant prior knowledge to be discovered, assimilated, and appropriately cited. However, despite the availability of powerful search engines and sophisticated text editing software, discovering relevant papers and integrating the knowledge into a manuscript remain complex tasks associated with high cognitive load. To define comprehensive search queries requires strong motivation from authors, irrespective of their familiarity with the research field. Moreover, switching between independent applications for literature discovery, bibliography management, reading papers, and writing text burdens authors further and interrupts their creative process. Here, we present a web application that combines text editing and literature discovery in an interactive user interface. The application is equipped with a search engine that couples Boolean keyword filtering with nearest neighbor search over text embeddings, providing a discovery experience tuned to an author's manuscript and his interests. Our application aims to take a step towards more enjoyable and effortless academic writing. The demo of the application (https://SciEditorDemo2020.herokuapp.com) and a short video tutorial (https://youtu.be/pkdVU60IcRc) are available online.",4,4,5,4,4.25,0.25,3,3,4,2,3,0.666666667,1,2,3,2,2,0.666666667,Editor Science Search,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,35.5,-0.102731228,3581.878365,62847.87404,0.056992833,0.456764159
11,"We present ClaimPortal, a web-based platform for monitoring, searching, checking, and analyzing English factual claims on Twitter from the American political domain. We explain the architecture of ClaimPortal, its components and functions, and the user interface. While the last several years have witnessed a substantial growth in interests and efforts in the area of computational fact-checking, ClaimPortal is a novel infrastructure in that fact-checkers have largely skipped factual claims in tweets. It can be a highly powerful tool to both general web users and fact-checkers. It will also be an educational resource in helping cultivate a society that is less susceptible to falsehoods.",5,3,3,4,3.75,0.916666667,1,1,2,2,1.5,0.333333333,1,2,2,2,1.75,0.25,News FactCheck SocialMedia,English,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,28.09,-0.305415154,1226.010541,55057.27498,0.022267912,0.566842302
12,"With the increasing democratization of electronic media, vast information resources are available in less-frequently-taught languages such as Swahili or Somali. That information, which may be crucially important and not available elsewhere, can be difficult for monolingual English speakers to effectively access. In this paper we present an end-to-end cross-lingual information retrieval (CLIR) and summarization system for low-resource languages that 1) enables English speakers to search foreign language repositories of text and audio using English queries, 2) summarizes the retrieved documents in English with respect to a particular information need, and 3) provides complete transcriptions and translations as needed. The SARAL system achieved the top end-to-end performance in the most recent IARPA MATERIAL CLIR+summarization evaluations. Our demonstration system provides end-to-end open query retrieval and summarization capability, and presents the original source text or audio, speech transcription, and machine translation, for two low resource languages.",5,5,5,5,5,0,4,1,3,2,2.5,1.666666667,3,1,3,3,2.5,1,Multilingual IR,Swahili Somali English,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,23.99,-0.405401468,1400.423796,61230.05332,0.02287151,0.567811491
13,"This work presents PerspectroScope, a web-based system which lets users query a discussion-worthy natural language claim, and extract and visualize various perspectives in support or against the claim, along with evidence supporting each perspective. The system thus lets users explore various perspectives that could touch upon aspects of the issue at hand.The system is built as a combination of retrieval engines and learned textual-entailment-like classifiers built using a few recent developments in natural language understanding. To make the system more adaptive, expand its coverage, and improve its decisions over time, our platform employs various mechanisms to get corrections from the users. PerspectroScope is available at github.com/CogComp/perspectroscope Web demo link: http://orwell.seas.upenn.edu:4002/ Link to demo video: https://www.youtube.com/watch?v=MXBTR1Sp3Bs",4,3,4,4,3.75,0.25,3,3,3,3,3,0,2,1,1,2,1.5,0.333333333,Debate Visualize Search,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,32.79,-0.338471413,1356.199735,39807.6841,0.034068793,0.579674746
14,"Literacy is crucial for functioning in modern society. It underpins everything from educational attainment and employment opportunities to health outcomes. We describe My Turn To Read, an app that uses interleaved reading to help developing and struggling readers improve reading skills while reading for meaning and pleasure. We hypothesize that the longer-term impact of the app will be to help users become better, more confident readers with an increased stamina for extended reading. We describe the technology and present preliminary evidence in support of this hypothesis.",4,5,5,5,4.75,0.25,1,1,3,3,2,1.333333333,2,1,1,1,1.25,0.25,LanguageLearning Reader,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,20.98,0.216455698,1351.689656,63994.00416,0.02112213,0.50898489
15,"We introduce a method for generating suggestions on a given sentence for improving the proficiency level. In our approach, the sentence is transformed into a sequence of grammatical elements aimed at providing suggestions of more advanced grammar elements based on originals. The method involves parsing the sentence, identifying grammatical elements, and ranking related elements to recommend a higher level of grammatical element. We present a prototype tutoring system, Level-Up, that applies the method to English learners' essays in order to assist them in writing and reading. Evaluation on a set of essays shows that our method does assist user in writing.",3,3,2,4,3,0.666666667,4,2,3,4,3.25,0.916666667,2,1,5,2,2.5,3,Writing WritingAid LanguageLearning,English,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,29.1,-0.382088423,2684.967566,54516.3701,0.049250667,0.575880568
16,"We introduce a system aimed at improving and expanding second language learners' English vocabulary. In addition to word definitions, we provide rich lexical information such as collocations and grammar patterns for target words. We present Linggle Booster that takes an article, identifies target vocabulary, provides lexical information, and generates a quiz on target words. Linggle Booster also links named-entity to corresponding Wikipedia pages. Evaluation on a set of target words shows that the method have reasonably good performance in terms of generating useful and information for learning vocabulary.",4,3,3,4,3.5,0.333333333,4,2,2,2,2.5,1,3,1,2,2,2,0.666666667,LanguageLearning Reader,English,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,36.98,-0.358823538,1464.255144,50996.84254,0.028712663,0.580530517
17,"We present NovelPerspective: a tool to allow consumers to subset their digital literature, based on point of view (POV) character. Many novels have multiple main characters each with their own storyline running in parallel. A well-known example is George R. R. Martin's novel: ``A Game of Thrones'', and others from that series. Our tool detects the main character that each section is from the POV of, and allows the user to generate a new ebook with only those sections. This gives consumers new options in how they consume their media; allowing them to pursue the storylines sequentially, or skip chapters about characters they find boring. We present two heuristic-based baselines, and two machine learning based methods for the detection of the main character.",5,5,4,5,4.75,0.25,2,1,2,1,1.5,0.333333333,1,2,5,2,2.5,3,Art Extraction Literature,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,24.48,0.051213503,3304.754353,65561.37053,0.050407036,0.561171646
18,"Being able to reliably link scientific works to the newspaper articles that discuss them could provide a breakthrough in the way we rationalise and measure the impact of science on our society. Linking these articles is challenging because the language used in the two domains is very different, and the gathering of online resources to align the two is a substantial information retrieval endeavour. We present HarriGT, a semi-automated tool for building corpora of news articles linked to the scientific papers that they discuss. Our aim is to facilitate future development of information-retrieval tools for newspaper/scientific work citation linking. HarriGT retrieves newspaper articles from an archive containing 17 years of UK web content. It also integrates with 3 large external citation networks, leveraging named entity extraction, and document classification to surface relevant examples of scientific literature to the user. We also provide a tuned candidate ranking algorithm to highlight potential links between scientific papers and newspaper articles to the user, in order of likelihood. HarriGT is provided as an open source tool (http://harrigt.xyz).",5,5,5,5,5,0,4,2,3,3,3,0.666666667,3,4,4,4,3.75,0.25,Science News InformationExtraction Linking,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,24.07,-0.379725456,3997.928118,67289.16599,0.059414143,0.550003226
19,"Most of the current anti money laundering (AML) systems, using handcrafted rules, are heavily reliant on existing structured databases, which are not capable of effectively and efficiently identifying hidden and complex ML activities, especially those with dynamic and time-varying characteristics, resulting in a high percentage of false positives. Therefore, analysts are engaged for further investigation which significantly increases human capital cost and processing time. To alleviate these issues, this paper presents a novel framework for the next generation AML by applying and visualizing deep learning-driven natural language processing (NLP) technologies in a distributed and scalable manner to augment AML monitoring and investigation. The proposed distributed framework performs news and tweet sentiment analysis, entity recognition, relation extraction, entity linking and link analysis on different data sources (e.g. news articles and tweets) to provide additional evidence to human investigators for final decision-making. Each NLP module is evaluated on a task-specific data set, and the overall experiments are performed on synthetic and real-world datasets. Feedback from AML practitioners suggests that our system can reduce approximately 30 time and cost compared to their previous manual approaches of AML investigation.",4,5,3,4,4,0.666666667,4,2,3,2,2.75,0.916666667,4,2,3,3,3,0.666666667,Legal Search Tweet InformationExtraction,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,26.36,-0.421640635,1274.123646,61537.05728,0.020704982,0.58933023
20,"We present a computer-assisted learning system, Jastudy, which is particularly designed for Chinese-speaking learners of Japanese as a second language (JSL) to learn Japanese functional expressions with suggestion of appropriate example sentences. The system automatically recognizes Japanese functional expressions using a free Japanese morphological analyzer MeCab, which is retrained on a new Conditional Random Fields (CRF) model. In order to select appropriate example sentences, we apply a pairwise-based machine learning tool, Support Vector Machine for Ranking (SVMrank) to estimate the complexity of the example sentences using Japanese--Chinese homographs as an important feature. In addition, we cluster the example sentences that contain Japanese functional expressions with two or more meanings and usages, based on part-of-speech, conjugation forms of verbs and semantic attributes, using the K-means clustering algorithm in Scikit-Learn. Experimental results demonstrate the effectiveness of our approach.",3,2,4,4,3.25,0.916666667,4,2,5,3,3.5,1.666666667,1,2,2,2,1.75,0.25,LanguageLearning,Chinese Japanese,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,25.44,-0.64246273,1783.928827,53129.18651,0.033577191,0.621351031
21,"To enable efficient exploration of Web-scale scientific knowledge, it is necessary to organize scientific publications into a hierarchical concept structure. In this work, we present a large-scale system to (1) identify hundreds of thousands of scientific concepts, (2) tag these identified concepts to hundreds of millions of scientific publications by leveraging both text and graph structure, and (3) build a six-level concept hierarchy with a subsumption-based model. The system builds the most comprehensive cross-domain scientific concept ontology published to date, with more than 200 thousand concepts and over one million relationships.",4,2,3,3,3,0.666666667,4,2,3,3,3,0.666666667,2,4,3,2,2.75,0.916666667,Science Search,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,19.78,-0.519842386,1477.926174,55142.0569,0.026802159,0.559561938
22,"The open-source SUMMA Platform is a highly scalable distributed architecture for monitoring a large number of media broadcasts in parallel, with a lag behind actual broadcast time of at most a few minutes. The Platform offers a fully automated media ingestion pipeline capable of recording live broadcasts, detection and transcription of spoken content, translation of all text (original or transcribed) into English, recognition and linking of Named Entities, topic detection, clustering and cross-lingual multi-document summarization of related media items, and last but not least, extraction and storage of factual claims in these news items. Browser-based graphical user interfaces provide humans with aggregated information as well as structured access to individual news items stored in the Platform's database. This paper describes the intended use cases and provides an overview over the system's implementation.",3,3,3,3,3,0,4,2,4,4,3.5,1,2,2,3,3,2.5,0.333333333,News ASR Translation,English,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,32.18,-0.199741125,2311.708739,59230.06249,0.039029315,0.560085445
23,"The COVID-19 pandemic has sparked unprecedented mobilization of scientists, generating a deluge of papers that makes it hard for researchers to keep track and explore new directions. Search engines are designed for targeted queries, not for discovery of connections across a corpus. In this paper, we present SciSight, a system for exploratory search of COVID-19 research integrating two key capabilities: first, exploring associations between biomedical facets automatically extracted from papers (e.g., genes, drugs, diseases, patient outcomes); second, combining textual and network information to search and visualize groups of researchers and their ties. SciSight has so far served over 15K users with over 42K page views and 13 returns.",4,5,5,4,4.5,0.333333333,3,1,3,3,2.5,1,3,3,4,2,3,0.666666667,Covid Science Search InformationExtraction,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,42.02,-0.607256413,2612.211574,88597.73624,0.029483954,0.576965401
24,"We introduce NeuSpell, an open-source toolkit for spelling correction in English. Our toolkit comprises ten different models, and benchmarks them on naturally occurring misspellings from multiple sources. We find that many systems do not adequately leverage the context around the misspelt token. To remedy this, (i) we train neural models using spelling errors in context, synthetically constructed by reverse engineering isolated misspellings; and (ii) use richer representations of the context. By training on our synthetic examples, correction rates improve by 9 (absolute) compared to the case when models are trained on randomly sampled character perturbations. Using richer contextual representations boosts the correction rate by another 3. Our toolkit enables practitioners to use our proposed and existing spelling correction systems, both via a simple unified command line, as well as a web interface. Among many potential applications, we demonstrate the utility of our spell-checkers in combating adversarial misspellings. The toolkit can be accessed at neuspell.github.io.",5,4,3,4,4,0.666666667,3,2,5,3,3.25,1.583333333,2,3,3,3,2.75,0.25,SpellCheck,English,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,26.15,-0.725919247,1125.493196,64057.42285,0.017570067,0.579827619
25,"A reverse dictionary takes descriptions of words as input and outputs words semantically matching the input descriptions. Reverse dictionaries have great practical value such as solving the tip-of-the-tongue problem and helping new language learners. There have been some online reverse dictionary systems, but they support English reverse dictionary queries only and their performance is far from perfect. In this paper, we present a new open-source online reverse dictionary system named WantWords (https://wantwords.thunlp.org/). It not only significantly outperforms other reverse dictionary systems on English reverse dictionary performance, but also supports Chinese and English-Chinese as well as Chinese-English cross-lingual reverse dictionary queries for the first time. Moreover, it has user-friendly front-end design which can help users find the words they need quickly and easily. All the code and data are available at https://github.com/thunlp/WantWords.",5,5,4,5,4.75,0.25,2,2,2,1,1.75,0.25,2,2,3,2,2.25,0.25,ReverseDictionary LanguageLearning,Chinese English,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,13.75,-0.407035112,3293.397392,62415.09681,0.052766038,0.57324441
26,"Despite the current diversity and inclusion initiatives in the academic community, researchers with a non-native command of English still face significant obstacles when writing papers in English. This paper presents the Langsmith editor, which assists inexperienced, non-native researchers to write English papers, especially in the natural language processing (NLP) field. Our system can suggest fluent, academic-style sentences to writers based on their rough, incomplete phrases or sentences. The system also encourages interaction between human writers and the computerized revision system. The experimental results demonstrated that Langsmith helps non-native English-speaker students write papers in English. The system is available at https://emnlp-demo.editor. langsmith.co.jp/.",4,3,5,5,4.25,0.916666667,2,2,2,1,1.75,0.25,1,1,2,2,1.5,0.333333333,Writing WritingAid Science NLP,English,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,26.2,-0.334391832,1104.087716,81822.43947,0.013493703,0.554813061
27,"Legal Tech is developed to help people with legal services and solve legal problems via machines. To achieve this, one of the key requirements for machines is to utilize legal knowledge and comprehend legal context. This can be fulfilled by natural language processing (NLP) techniques, for instance, text representation, text categorization, question answering (QA) and natural language inference, etc. To this end, we introduce a freely available Chinese Legal Tech system (IFlyLegal) that benefits from multiple NLP tasks. It is an integrated system that performs legal consulting, multi-way law searching, and legal document analysis by exploiting techniques such as deep contextual representations and various attention mechanisms. To our knowledge, IFlyLegal is the first Chinese legal system that employs up-to-date NLP techniques and caters for needs of different user groups, such as lawyers, judges, procurators, and clients. Since Jan, 2019, we have gathered 2,349 users and 28,238 page views (till June, 23, 2019).",3,5,4,4,4,0.666666667,3,3,3,2,2.75,0.25,2,2,2,2,2,0,Legal Search Analysis,Chinese,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,25.7,-0.550449133,1243.308423,56008.70912,0.022198484,0.568153263
28,"In this paper, we demonstrate an Interactive Machine Translation interface, that assists human translators with on-the-fly hints and suggestions. This makes the end-to-end translation process faster, more efficient and creates high-quality translations. We augment the OpenNMT backend with a mechanism to accept the user input and generate conditioned translations.",3,2,3,3,2.75,0.25,2,1,2,3,2,0.666666667,2,2,1,2,1.75,0.25,Translation,,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,26.28,-0.636835098,1400.049192,56958.01156,0.024580373,0.551123072
29,"Massive Open Online Courses (MOOCs) have developed rapidly and attracted large number of learners. In this work, we present MAssistant system, a personal knowledge assistant for MOOC learners. MAssistant helps users to trace the concepts they have learned in MOOCs, and to build their own concept graphs. There are three key components in MAssistant: (i) a large-scale concept graph built from open data sources, which contains concepts in various domains and relations among them; (ii) a browser extension which interacts with learners when they are watching video lectures, and presents important concepts to them; (iii) a web application allowing users to explore their personal concept graphs, which are built based on their learning activities on MOOCs. MAssistant will facilitate the knowledge management task for MOOC learners, and make the learning on MOOCs easier.",5,4,4,4,4.25,0.25,4,1,4,4,3.25,2.25,2,1,2,3,2,0.666666667,MOOC Education KnowledgeGraph,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,13.46,-0.396630764,3423.234935,45680.84924,0.074938076,0.62475487
30,"An interface for building, improving and customising a given Named Entity Recognition and Linking (NER+L) model for biomedical domain text, and the efficient collation of accurate research use case specific training data and subsequent model training. Screencast demo available here: https://www.youtube.com/watch?v=lM914DQjvSo",1,2,2,2,1.75,0.25,2,2,1,3,2,0.666666667,1,2,2,3,2,0.666666667,Medical NER,,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,49.98,-0.573933125,923.6154422,57789.27587,0.015982471,0.553891045
31,"We demonstrate a conversational system which engages the user through a multi-modal, multi-turn dialog over the user's memories. The system can perform QA over memories by responding to user queries to recall specific attributes and associated media (e.g. photos) of past episodic memories. The system can also make proactive suggestions to surface related events or facts from past memories to make conversations more engaging and natural. To implement such a system, we collect a new corpus of memory grounded conversations, which comprises human-to-human role-playing dialogs given synthetic memory graphs with simulated attributes. Our proof-of-concept system operates on these synthetic memory graphs, however it can be trained and applied to real-world user memory data (e.g. photo albums, etc.) We present the architecture of the proposed conversational system, and example queries that the system supports.",3,2,2,3,2.5,0.333333333,2,2,2,3,2.25,0.25,4,2,3,3,3,0.666666667,Memory Chat,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,26.81,-0.506092787,1323.483518,52524.12524,0.025197631,0.607805793
32,"We present a novel system providing summaries for Computer Science publications. Through a qualitative user study, we identified the most valuable scenarios for discovery, exploration and understanding of scientific documents. Based on these findings, we built a system that retrieves and summarizes scientific documents for a given information need, either in form of a free-text query or by choosing categorized values such as scientific tasks, datasets and more. Our system ingested 270,000 papers, and its summarization module aims to generate concise yet detailed summaries. We validated our approach with human experts.",4,4,2,4,3.5,1,3,3,2,4,3,0.666666667,4,3,3,2,3,0.666666667,Science Summary CS,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,41.71,-0.55571866,2515.856808,60980.42884,0.041256791,0.580719992
33,"We introduce Tanbih, a news aggregator with intelligent analysis tools to help readers understanding what's behind a news story. Our system displays news grouped into events and generates media profiles that show the general factuality of reporting, the degree of propagandistic content, hyper-partisanship, leading political ideology, general frame of reporting, and stance with respect to various claims and topics of a news outlet. In addition, we automatically analyse each article to detect whether it is propagandistic and to determine its stance with respect to a number of controversial topics.",4,5,4,4,4.25,0.25,3,1,2,1,1.75,0.916666667,2,2,1,2,1.75,0.25,News Summary,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,34.13,-0.26621747,1538.19647,58290.44714,0.026388483,0.547709733
